TAT_AA,TAT_VV,EDV_LV,EDP_LV,ESV_LV,pMax_LV,dpdtMax_LV,dpdtMin_LV,EDV_RV,EDP_RV,ESV_RV,pMax_RV,dpdtMax_RV,dpdtMin_RV,EDV_LA,ESV_LA,maxV_LA,maxP_LA,EDV_RA,ESV_RA,maxV_RA,maxP_RA
130.924,207.994,181.28,11.18,129.04,144.09,2012,-902,111.98,3.22,62.38,17.64,202,-81,208.18,152.21,209.16,10.22,147.79,108.32,150.33,3.82
146.155,210.725,117.64,3.13,81.45,100.17,1334,-615,153.2,2.23,118.72,37.19,618,-216,168.27,133.26,168.49,2.9,150.52,117.71,151.48,2.15
120.651,172.191,143.44,3.46,117.59,88.55,1399,-663,145.51,1.9,119.59,24.19,437,-150,162.67,131.88,166.25,5.01,145.16,114.6,147.16,3.17
126.374,172.024,153.41,8.31,107.61,165.29,2348,-986,105.69,2.36,57.92,22.48,290,-84,203.96,157.3,211.82,8.08,140.22,119.07,147.02,2.47
121.021,199.577,129.22,4.31,96.9,97.93,1490,-607,149.84,3.48,119.42,32.71,531,-173,168.89,142.26,171.16,3.84,147.05,127.12,154.24,3.18
116.374,201.954,160.86,9.15,131,117.29,1527,-911,115.83,2.39,81.62,14.65,195,-93,203.42,166.88,206.19,8.88,145.2,120.2,146.78,2.63
136.589,187.083,146.93,5.43,122.25,110.42,1152,-602,106.83,2.93,83.48,31.73,464,-166,170.68,135.73,172.12,5.58,148.09,114.92,148.86,2.86
137.764,168.891,147.85,6.66,94.4,104.88,1548,-626,125,3.99,75.71,24.54,301,-117,164.17,140.22,182.15,4.69,156.69,124.5,159.87,3.63
133.957,218.019,145.04,6.42,102.08,115.14,1646,-647,114.47,3.12,76.86,23.25,536,-119,180.83,156.26,191.53,6.14,156.4,128.91,159.58,3.14
131.081,195.788,146.78,5.92,105.07,121.12,1789,-689,126.97,3.44,88.13,30.54,505,-158,171.92,135.71,176.57,5.37,150.82,115.42,157.18,4.47
157.527,219.898,149.66,4.61,108.51,76,1127,-400,110.83,3.94,77.06,24.67,350,-116,166.66,147.81,177.59,4.12,158.28,126.84,162.64,3.9
149.536,186.181,152.45,6.97,100.7,91.9,1447,-665,131.59,3.91,82.77,23.54,190,-112,173.58,141.38,186.34,6.32,152.23,116.47,156.14,4.49
133.718,173.979,169.72,7.39,109.41,86.96,1090,-493,111.54,4.73,57.86,22.78,187,-94,191.07,143.21,201.03,7.01,166.64,116.84,171.44,5.22
134.702,161.526,173.99,7.25,126.84,119.48,1609,-694,103.54,3.24,59.2,31.32,477,-165,193.56,154.22,197.36,8.02,148.24,119.15,156.88,4.26
140.112,173.753,134.78,4.6,75.37,88,1597,-461,133.93,5.09,77.41,32.94,483,-153,162.5,135.02,174.39,3.74,166.5,123.16,168.81,5.56
125.944,174.181,149.6,6.68,90.19,119.37,1924,-883,139.01,3.71,80.56,25.95,246,-141,167.93,130.01,185.26,6.46,154.4,111.48,158.36,4.74
145.919,171.43,142.6,8.16,92.69,120.95,2030,-836,126.33,4.96,79.64,26.35,378,-147,168.54,137.06,180.33,5.07,159.91,116.18,162,4.53
154.875,179.506,124.88,3.95,85.41,101.85,1838,-755,130.3,2.52,94.01,30.24,540,-191,174.26,155.41,185.52,3.85,154.35,133.66,164.38,2.82
125.421,204.743,114.96,4.04,63.9,73.19,1165,-468,148.84,4.31,102.36,28.11,406,-152,162.65,136.76,172.16,3.54,164.64,123.47,169.86,5.42
149.849,214.407,166.15,8.39,108.78,119.54,1491,-676,121.13,4.44,67.69,25.78,247,-119,183.81,126.69,185.36,7.05,148.91,107.7,157.37,5.07
129.297,183.445,140.36,5.62,103.7,109.5,1738,-732,115.08,3.17,81.06,24.12,346,-132,196.75,156.11,197.73,4.71,159.33,126.05,168.5,3.17
150.887,188.451,113.31,3.4,67.89,98.24,1869,-728,137.64,3.11,95.74,29.05,503,-181,155.81,148.22,172.61,2.32,156.77,139.22,161.7,2.64
145.733,186.252,165.16,7.82,122.51,97.45,1199,-582,144.04,4.59,104.03,30.48,459,-169,167.35,122.73,168.1,4.54,146.46,106.35,153.46,4.48
124.637,194.156,185.59,9.71,125.1,127.27,1758,-732,143.53,2.83,85.03,26.96,306,-140,212.63,174.46,229.59,10.13,159.38,128.35,164.72,3.29
