Mesh_ID,EDV_LV,Myo_vol_LV,ESV_LV,SV_LV,V1_LV,EF1_LV,dPdtmax_LV,dPdtmin_LV,PeakP_LV,tpeak_LV,ET_LV,tsys_LV,QRS_LV,AT1090_LV,AT_LV,EDV_RV,Myo_vol_RV,ESV_RV,SV_RV,EF_RV,V1_RV,EF1_RV,ESP_RV,dPdtmax_RV,dPdtmin_RV,PeakP_RV,tpeak_RV,ET_RV,tsys_RV
1,119.65,163.3058351,55.614,64.036,90.248,24.57333891,2.96,-1.855,126.961,97,79,142,74.1809,36.9911,72.1809,273.606,64.68443903,142.677,130.929,47.85311726,213.246,22.06091972,24.267,0.991,-0.512,46.786,101,135,182
2,128.603,202.1596623,51.027,77.576,98.402,23.48390006,3.515,-2.079,131.792,89,98,154,90.2701,30.2485,88.2701,177.888,53.54385143,99.791,78.097,43.90234305,146.585,17.59702734,30.178,0.944,-0.586,37.073,86,103,148
3,152.279,154.9730149,65.778,86.501,110.147,27.66763638,2.9,-2.017,136.618,100,95,154,88.6266,35.3853,86.6266,191.981,56.29937926,110.84,81.141,42.26511999,161.101,16.08492507,29.582,0.972,-0.572,37.387,84,106,150
4,145.034,199.4631106,57.18,87.854,105.63,27.1688018,3.473,-2.184,142.024,93,97,153,88.8248,31.6259,86.3653,189.964,59.73283755,107.032,82.932,43.65669285,160.278,15.62717146,26.976,0.926,-0.604,36.298,87,115,161
5,118.599,91.97666539,55.855,62.744,94.714,20.13929291,2.355,-1.733,114.43,98,99,161,78.5669,29.3976,76.2258,101.244,39.05013367,57.457,43.787,43.24898266,83.083,17.93785311,45.036,1.013,-0.494,33.905,75,69,112
6,85.968,109.660211,40.184,45.784,68.64,20.15633724,3.254,-1.96,116.232,83,77,132,84.7682,31.8339,82.7682,163.845,45.25204579,76.408,87.437,53.36568098,123.832,24.42125179,34.623,1.173,-0.643,43.403,83,95,136
7,113.13,94.99885305,49.677,63.453,84.963,24.89790507,2.487,-1.706,119.746,101,87,151,70.4064,28.9323,68.4064,139.66,52.88829098,80.357,59.303,42.46240871,115.363,17.39725047,35.946,0.963,-0.516,35.645,82,87,133
8,142.547,135.1946563,64.998,77.549,107.61,24.50910928,2.537,-1.84,125.508,106,97,163,112.469,38.1203,110.469,178.096,60.10722384,107.221,70.875,39.79595274,148.439,16.65225496,31.494,0.93,-0.522,37.437,88,96,144
11,140.874,140.7235515,65.42,75.454,107.909,23.40034357,2.655,-1.888,127.141,104,95,161,89.3458,32.0681,87.3458,168.57,55.634607,96.936,71.634,42.49510589,138.475,17.8531174,34.198,1.028,-0.501,39.298,84,92,137
12,101.382,101.575101,45.137,56.245,77.413,23.64226391,2.66,-1.763,118.656,97,80,144,76.1132,29.0949,74.1132,121.133,45.31379384,66.017,55.116,45.50040039,98.096,19.01793896,41.991,1.063,-0.547,36.981,77,77,120
13,139.551,152.8389526,59.194,80.357,103.644,25.73037814,2.653,-1.911,129.6,104,96,161,92.7397,31.4925,90.7397,173.201,57.03584972,101.188,72.013,41.57770452,144.454,16.59747923,31.149,0.952,-0.519,37.38,86,98,145
14,176.987,167.3198776,79.883,97.104,129.387,26.89463068,2.634,-1.992,136.959,110,103,168,85.5237,32.4232,83.5237,200.975,68.21763769,123.891,77.084,38.35501928,167.829,16.49259858,26.789,0.802,-0.555,35.783,96,112,162
15,103.318,100.3857954,46.261,57.057,79.451,23.10052459,2.785,-1.834,122.189,95,81,144,79.1741,28.7658,77.1741,122.545,48.17219426,68.864,53.681,43.80513281,99.979,18.41445999,39.22,0.949,-0.493,34.701,81,80,126
16,138.871,134.4338438,64.642,74.229,107.312,22.72540703,2.813,-2.024,125.495,97,99,159,87.5092,31.3614,85.5092,145.481,52.60771625,82.617,62.864,43.21114097,122.238,15.97665675,32.979,0.929,-0.545,34.602,81,95,140
17,118.196,118.1513317,51.19,67.006,89.819,24.00842668,2.626,-1.884,123.465,101,92,157,82.098,30.0432,80.098,157.13,55.75224842,92.489,64.641,41.1385477,129.751,17.42442563,35.056,0.94,-0.503,36.546,84,89,135
18,92.87,87.68573536,38.778,54.092,68.626,26.1053085,2.689,-1.823,120.415,95,75,137,73.9895,29.841,71.9895,119.108,47.44065841,65.938,53.17,44.64015851,96.635,18.86775028,40.631,1.025,-0.498,35.524,79,79,123
19,115.226,130.9151819,48.96,66.266,88.114,23.52941176,3.153,-1.819,126.804,89,87,143,77.5646,28.403,75.5646,116.251,44.80803461,63.238,53.013,45.60218837,95.556,17.8019974,39.22,0.984,-0.481,33.027,77,83,126
average,126.536,135.3419428,54.037,72.499,93.389,26.19570715,2.76,-1.992,128.895,101,90,154,76.0493,35.9436,74.0493,149.697,52.43375803,82.532,67.165,44.86729861,121.783,18.64700027,21.639,1.01,-0.533,37.632,82,89,133
mode1+3SD,116.475,135.3236789,51.671,64.804,89.961,22.76368319,2.749,-1.913,121.191,100,91,157,79.6005,37.3292,77.6005,138.945,62.51723573,71.9,67.045,48.25290583,109.157,21.43869877,22.887,1.117,-0.625,40.367,80,83,126
mode1-3SD,136.051,151.4301343,55.408,80.643,96.947,28.74216287,2.842,-2.02,136.461,102,88,151,75.0951,36.7296,73.0951,173.898,66.05047628,98.55,75.348,43.32884795,140.811,19.02667081,20.373,0.921,-0.558,37.108,90,101,148
mode2+3SD,166.674,233.0123068,67.394,99.28,119.807,28.11896277,2.824,-2.143,141.554,108,103,169,87.5013,44.0404,85.5013,242.267,71.08067968,141.652,100.615,41.5306253,200.491,17.24378475,19.754,0.937,-0.596,40.264,94,119,166
mode3-3SD,92.038,101.7125569,38.833,53.205,68.01,26.10660814,2.818,-1.92,121.196,94,74,136,65.6425,35.9861,63.6425,109.673,52.37869419,57.706,51.967,47.38358575,88.453,19.34842669,24.56,1.094,-0.508,35.757,77,76,120
